"item","itemLabel","yob","yod","occupationLabel","citizenLabel","birthcountryLabel"
"http://www.wikidata.org/entity/Q3119777","Nicolau Chanterene",1470,1551,"architect","Portugal","France"
"http://www.wikidata.org/entity/Q3119777","Nicolau Chanterene",1470,1551,"architect","France","France"
"http://www.wikidata.org/entity/Q3119777","Nicolau Chanterene",1470,1551,"sculptor","Portugal","France"
"http://www.wikidata.org/entity/Q3119777","Nicolau Chanterene",1470,1551,"sculptor","France","France"
"http://www.wikidata.org/entity/Q1771991","Amanieu d'Albret",1478,1520,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1131862","Adrian Gouffier de Boissy",1479,1523,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1955329","Charlotte of Albret",1480,1514,"politician","France","France"
"http://www.wikidata.org/entity/Q2258451","François Guillaume de Castelnau-Clermont-Ludève",1480,1541,"diplomat","France","France"
"http://www.wikidata.org/entity/Q2258451","François Guillaume de Castelnau-Clermont-Ludève",1480,1541,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q8896932","Jean de Rouen",1480,1580,"architect","","France"
"http://www.wikidata.org/entity/Q8896932","Jean de Rouen",1480,1580,"sculptor","","France"
"http://www.wikidata.org/entity/Q18601872","Hodart",1480,1546,"sculptor","","France"
"http://www.wikidata.org/entity/Q1955329","Charlotte of Albret",1481,1514,"politician","France","France"
"http://www.wikidata.org/entity/Q3102910","Georges II d'Amboise",1488,1550,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q968593","Claudin de Sermisy",1490,1562,"composer","France","France"
"http://www.wikidata.org/entity/Q968593","Claudin de Sermisy",1490,1562,"singer","France","France"
"http://www.wikidata.org/entity/Q968593","Claudin de Sermisy",1490,1562,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q518967","Jean du Bellay",1492,1560,"writer","France","France"
"http://www.wikidata.org/entity/Q518967","Jean du Bellay",1492,1560,"diplomat","France","France"
"http://www.wikidata.org/entity/Q518967","Jean du Bellay",1492,1560,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q3750745","Francesco Touchebeuf",1492,1540,"military personnel","France","France"
"http://www.wikidata.org/entity/Q2352122","Antoine Sanguin",1493,1559,"diplomat","France","France"
"http://www.wikidata.org/entity/Q2352122","Antoine Sanguin",1493,1559,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q1080429","Charles de Hémard de Denonville",1493,1540,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q379036","Claude de la Sengle",1494,1557,"warrior monk","France","France"
"http://www.wikidata.org/entity/Q6014938","Miguel Perrin",1498,1552,"sculptor","","France"
"http://www.wikidata.org/entity/Q18811898","Hugues de Coat Tredrez",1500,1468,"Catholic priest","France","France"
"http://www.wikidata.org/entity/Q97341773","Pere Fontaines",1500,1518,"painter","","France"
"http://www.wikidata.org/entity/Q16546198","Curzio Troiano Navò",1501,1600,"publisher","Republic of Venice","France"
"http://www.wikidata.org/entity/Q17174414","Claude Aubery",1501,1596,"physician","Switzerland","France"
"http://www.wikidata.org/entity/Q17174414","Claude Aubery",1501,1596,"physician","France","France"
"http://www.wikidata.org/entity/Q17174414","Claude Aubery",1501,1596,"philosopher","Switzerland","France"
"http://www.wikidata.org/entity/Q17174414","Claude Aubery",1501,1596,"philosopher","France","France"
