"id","bdate","ddate","lifespan","data","name","seats"
"A001583",344,413,69,"ddm","鳩摩羅什",NA
"A001587",445,518,73,"ddm","僧祐",NA
"A001588",460,524,64,"ddm","僧伽婆羅",NA
"A001590",400,499,99,"ddm","僧伽斯那",NA
"A001595",467,527,60,"ddm","僧旻",NA
"A001598",384,414,30,"ddm","僧肇",NA
"A001599",355,439,84,"ddm","僧叡",NA
"A001600",407,464,57,"ddm","僧璩",NA
"A001605",1275,1351,76,"ddm","夢窗疏石",NA
"A001606",652,710,58,"ddm","實叉難陀",NA
"A001611",1318,1405,87,"ddm","實峰良秀",NA
"A001617",1685,1734,49,"ddm","實賢",NA
"A001620",1295,1369,74,"ddm","徹翁義亨",NA
"A001622",1634,1674,40,"ddm","徹御",NA
"A001624",1141,1215,74,"ddm","明庵榮西",NA
"A001638",1276,1343,67,"ddm","蒙潤",NA
"A001640",939,997,58,"ddm","趙炅",NA
"A001660",771,843,72,"ddm","廣修",NA
"A001662",1582,1639,57,"ddm","廣真",NA
"A001669",1628,1701,73,"ddm","德玉",NA
"A001671",1621,1684,63,"ddm","德宗",NA
"A001673",1071,1128,57,"ddm","德洪",NA
"A001679",1634,1700,66,"ddm","德基",NA
"A001681",1546,1623,77,"ddm","德清",NA
"A001697",1513,1581,68,"ddm","德寶",NA
"A001700",1078,1140,62,"ddm","慶預",NA
"A001701",680,748,68,"ddm","慧日",NA
"A001707",675,775,100,"ddm","南陽慧忠",NA
"A001708",652,715,63,"ddm","慧沼",NA
"A001711",515,577,62,"ddm","慧思",NA
"A001713",673,743,70,"ddm","慧苑",NA
"A001716",1626,1687,61,"ddm","慧海",NA
"A001719",638,713,75,"ddm","慧能",NA
"A001724",497,554,57,"ddm","慧皎",NA
"A001729",737,820,83,"ddm","慧琳",NA
"A001730",1183,1260,77,"ddm","慧開",NA
"A001737",1304,1371,67,"ddm","慧曇",NA
"A001738",1603,1668,65,"ddm","慧機",NA
"A001741",363,443,80,"ddm","慧嚴",NA
"A001756",718,788,70,"ddm","潛真",NA
"A001759",1268,1325,57,"ddm","瑩山紹瑾",NA
"A001762",740,767,27,"ddm","蓮華戒",NA
"A001769",1826,1880,54,"ddm","妙空",NA
"A001772",1240,1321,81,"ddm","凝然",NA
"A001777",1128,1220,92,"ddm","曉瑩",NA
"A001779",516,588,72,"ddm","曇延",NA
"A001786",356,442,86,"ddm","曇摩蜜多",NA
"A001789",385,433,48,"ddm","曇無讖",NA
"A001796",357,457,100,"ddm","曇摩耶舍",NA
"A001799",1285,1373,88,"ddm","曇噩",NA
"A001800",347,411,64,"ddm","曇諦",NA
"A001804",476,542,66,"ddm","曇鸞",NA
"A001808",1614,1685,71,"ddm","燈來",NA
"A001809",1625,1697,72,"ddm","燈映",NA
"A001812",1630,1698,68,"ddm","獨菴玄光",NA
"A001825",1858,1932,74,"ddm","諦閑",NA
"A001831",1162,1238,76,"ddm","辨阿聖光",NA
"A001832",964,1032,68,"ddm","遵式",NA
"A001834",1582,1664,82,"ddm","錢謙益",NA
"A001844",523,600,77,"ddm","闍那崛多",NA
"A001856",1604,1665,61,"ddm","濟能",NA
"A001861",1577,1632,55,"ddm","釋禪",NA
"A001869",385,433,48,"ddm","謝靈運",NA
"A001872",1574,1624,50,"ddm","鍾惺",NA
"A001873",1592,1673,81,"ddm","隆琦",NA
"A001875",1049,1118,69,"ddm","鮮演",NA
"A001877",1548,1610,62,"ddm","瞿汝稷",NA
"A001884",1233,1308,75,"ddm","藏山順空",NA
"A001889",1547,1617,70,"ddm","鎮澄",NA
"A001891",1794,1857,63,"ddm","魏源",NA
"A001897",720,814,94,"ddm","懷海",NA
"A001899",624,697,73,"ddm","懷素",NA
"A001900",1077,1132,55,"ddm","懷深",NA
"A001907",1177,1247,70,"ddm","證空",NA
"A001910",919,1001,82,"ddm","贊寧",NA
"A001921",444,509,65,"ddm","釋寶亮",NA
"A001925",1806,1875,69,"ddm","寶悟",NA
"A001928",376,449,73,"ddm","寶雲",NA
"A001930",1129,1197,68,"ddm","寶曇",NA
"A001931",1012,1082,70,"ddm","繼忠",NA
"A001948",1194,1249,55,"ddm","覺盛",NA
"A001954",1095,1143,48,"ddm","覺鍐",NA
"A001959",1641,1728,87,"ddm","續法",NA
"A001960",1213,1278,65,"ddm","道隆",NA
"A001966",620,649,29,"ddm","辯機",NA
"A001971",1588,1656,68,"ddm","讀徹",NA
"A001972",1601,1679,78,"ddm","讀體",NA
"A001984",771,853,82,"ddm","靈祐 ",NA
"A001986",477,522,45,"ddm","靈辨",NA
"A001993",1579,1646,67,"ddm","觀衡",NA
"A001997",1088,1158,70,"ddm","法雲",NA
"A001999",350,427,77,"ddm","智嚴",NA
"A002000",523,592,69,"ddm","慧遠",NA
"A002001",28,75,47,"ddm","劉莊",NA
"A002002",47,90,43,"ddm","傅毅",NA
"A002012",29,71,42,"ddm","劉英",NA
"A002016",-77,-6,71,"ddm","劉向",NA
"A002039",850,933,83,"ddm","杜光庭",NA
"A002040",132,167,35,"ddm","劉志",NA
"A002041",156,189,33,"ddm","劉宏",NA
"A002043",363,422,59,"ddm","劉裕",NA
"A002044",483,515,32,"ddm","元恪",NA
"A002045",510,528,18,"ddm","元詡",NA
