"p","pname","bdate","ddate","seats"
"P60","red mda' ba gzhon nu blo gros/","1349","1412" , 
"P6002","a 'dzom 'brug pa 'gro 'dul dpa' bo rdo rje/","1842","1924","G188"
"P601","'brug rje mkhan po 46 dam chos rgyal mtshan/","1846","1899","G54"
"P6019","dge rtse 02 tshe dbang rig 'dzin rgya mtsho/","1830","1885","G17,G518"
"P602","'brug rje mkhan po 47 shes rab lhun grub/","1842","1902","G54"
"P603","'brug rje mkhan po 48 'jam dbyangs rin chen/","1845","1905","G54"
"P6036","bya bral sangs rgyas rdo rje/","1913","2015" , 
"P6037","blo bzang brtson 'grus thub bstan rgyal mtshan/","1904","1984","G304"
"P6038","bstan pa chos 'phel/","1836","1899","G304"
"P604","'brug rje mkhan po 49 rig 'dzin snying po/","1853","1907","G54"
"P605","'brug rje mkhan po 50 'jam dpal bshes gnyen/","1861","1916","G59,G54"
"P6057","nyag bla rang rig rdo rje/","1847","1903","G1591"
"P6067","dgu rong 03 o rgyan 'jigs bral chos dbyings rdo rje/","1875","1932" , 
"P6068","dgu rong 02 sna tshogs rang grol/","1822","1874" , 
"P607","'brug rje mkhan po 52 dpal ldan seng+ge","1857","1921","G57,G54"
"P6071","nam mkha' gling pa/","1944","2011" , 
"P6072","mkha' 'gro tA re lha mo/","1938","2002" , 
"P6078","zhal shul ngag dbang bstan pa'i rgya mtsho/","1858","1917","G1KR2032,G3090,G162"
"P6095","nyang skyes snang mdzad rdo rje/","1798","1874","G3703"
"P6106","stag lha phun tshogs bkra shis/","1922","1999" , 
"P611","'brug rje mkhan po 54 ye shes zla ba/","1866","1918","G54"
"P612","'brug rje mkhan po 56 mi pham dbang po/","1864","1924","G54"
"P6132","rdo ring pa mi 'gyur bsod nams dpal 'byor/","1784","1834","G2CN10930"
"P614","'brug rje mkhan po 57 ngag dbang rgyal mtshan/","1865","1939","G3JT12435,G54"
"P6141","'bo dkar sprul sku 02 karma nges don chos kyi blo gros/","1940","2004","G3LS2927"
"P615","'brug rje mkhan po 58 srid zhi rnam rgyal/","1875","1935","G54"
"P6151","dge bshes ye shes blo ldan/","1899","1952" , 
"P616","bya bral rig 'dzin chos dbyings rdo rje/","1772","1838" , 
"P6163","brag dkar ba dkar brgyud bstan 'dzin nor bu/","1899","1959","G317"
"P6164","rdo rje gling pa/","1346","1405" , 
"P6167","'dzam thang mkhan po blo gros grags pa/","1920","1975","G529"
"P6168","rdzi 'gags sprul sku 'jam dbyangs shes rab chos kyi snang ba/","1854","1893","G18,G523"
"P6169","rgya sprul pad+ma mdo sngags bstan 'dzin/","1830","1892","G18,G523"
"P6172","o rgyan mdo sngags chos kyi nyi ma/","1854","1906","G523,G18"
"P618","bde chen chos 'khor yongs 'dzin 05 ye shes grub pa/","1781","1845","G47"
"P6184","byang sems kun dga' chos rgyal/","1413","1509" , 
"P6186","mon rdzong ras chen zla ba rgyal mtshan/","1418","1506" , 
"P6187","gung pa nam mkha' rdo rje/","1486","1553" , 
"P619","khams sprul 05 sgrub brgyud nyi ma/","1781","1847","G50"
"P620","rtogs ldan shAkya shrI/","1853","1919" , 
"P6209","shing bza' 05 skal bzang chos kyi rgyal mtshan/","1925","1998","G1KR2481"
"P621","mkhyen brtse klong grol/","1832","1909" , 
"P6212","mi nyag mgon po/","1923","2008" , 
"P6216","rje btsun shes rab seng+ge","1382","1445" , 
"P622","rtogs ldan bsod nams bzang po/","1892","1983" , 
"P6243","lha bzang bla ma rig 'dzin gar gyi dbang phyug","1858","1930" , 
"P625","dil mgo mkhyen brtse bkra shis dpal 'byor/","1910","1991","G20"
"P6259","rdo rje rgyal po/","1913","1992" , 
"P626","ngag dbang chos kyi blo gros/","1924","2011","G186,G4749"
"P6262","klu khang zla ba tshe ring /","1945","2002" , 
"P628","grub thob me long rdo rje/","1243","1303" , 
"P6280","'jam dbyangs grags pa/","1949","2008" , 
"P6282","la mo zhabs drung dkar po 05 phan bde'i dbang phyug mkhas btsun rgya mtsho/","1797","1831","G271"
"P6283","la mo zhabs drung dkar po 07 dge 'dun bstan 'dzin nor bu/","1873","1927","G271"
"P629","skal ldan jo sman/","1248","1283" , 
"P630","dbus pa zhig po/","1125","1195" , 
"P6303","bshad sgrub rgya mtsho/","1940","1998" , 
"P6306","mkhan chen tshe dbang rig 'dzin/","1883","1958","G3217"
"P631","gu ru jo 'ber/","1196","1255" , 
"P6310","mkhas grub karma 'gyur med nges don bstan 'dzin/","1794","1851","G523,G18"
"P6313","lha sprul pad+ma gar dbang bstan 'dzin/","1852","1935","G523,G18"
"P6318","gtsang pa grub chen byams pa chos 'dzin/","1830","1945","G1489"
"P6319","a wo bla ma bstan 'dzin dar rgyas/","1815","1997" , 
"P632","sprul sku zhig po/","1149","1199" , 
"P6324","karma chos 'phel/","1930","1999" , 
"P633","zhang mkhas pa nyi ma 'bum/","1158","1213" , 
"P6332","sba rod sku chen pad+ma bsam grub rdo rje/","1887","1937","G523"
"P6334","mgar klong pad+ma bde chen mkha' klong yangs pa/","1915","1994","G523"
"P6337","gdong nge mkhan po 'jigs med dkon mchog","1876","1958","G523"
"P6339","blo bzang rnam dag","1896","1958","G523"
"P634","rgyal ba zhang ston bkra shis rdo rje/","1097","1167" , 
"P6340","rdo sngon sprul sku skal bzang thub bstan rgya mtsho/","1925","1958","G523"
"P6342","dge rtse mkhan po blo bzang shes rab/","1918","1984","G523"
"P6344","dge rgan bstan 'dzin bzang po/","1928","1995","G523"
"P6347","mgar ba gter chen pad+ma bdud 'dul dbang phyug gling pa/","1857","1911","G523"
"P6357","rdo sngon sprul sku karma 'jigs med chos kyi seng+ge","1886","1958","G523"
"P6364","rta ba bla ma 'gyur med rdo rje/","1893","1972","G523"
"P6365","sog sprul pad+ma theg mchog bstan 'dzin/","1894","1953","G523"
"P6367","gsa' sprul 'od gsal snying po/","1896","1957","G523"
"P6368","wu ra ger ston gsang bdag dpa' bo rdo rje/","1898","1963","G523"
"P6369","rta ba dpon po o rgyan rig 'dzin/","1900","1960","G523"
"P6370","spu ne sprul sku pad+ma rnam rgyal/","1906","1958","G523"
"P6371","rgyal rong lha rje bsam grub rdo rje/","1909","1979","G523"
"P6372","gad zhabs sprul sku tshangs dbyangs blo gros/","1908","1959","G523"
"P638","'phreng po gter ston shes rab 'od zer/","1518","1584","G665,G4808,G4806,G665"
"P6382","lha sprul lhun grub rgya mtsho/","1939","1947","G523,G18"
"P6385","chags med sprul sku pad+ma blo gsal bstan 'dzin/","1943","1993","G523"
"P6387","pad nor 03 legs bshad chos kyi sgra dbyangs/","1932","2009","G18,G523"
"P6389","sgo chen sprul sku chos kyi blo gros/","1922","1958" , 
"P639","rdo rje brag rig 'dzin ngag gi dbang po/","1580","1639","G11"
"P6392","mgo shul mkhan po 'gyur med rgya mtsho/","1915","1959","G523"
"P6394","chags med sprul sku kun bzang rdo rje/","1914","1941","G523,G18"
"P64","tsong kha pa blo bzang grags pa/","1357","1419","G337"
"P640","gter ston zhig po gling pa/","1524","1583","G8"
"P6418","mkhan po no mon han blo bzang bstan 'dzin rgyal mtshan/","1639","1704" , 
"P644","lo chen 'gyur med bde chen/","1540","1615" , 
"P645","sog bzlog pa blo gros rgyal mtshan/","1552","1624","G2839"
"P6455","rmugs sangs sprul sku pad+ma kun bzang rang grol/","1916","1984","G3466"
"P646","byang bdag bkra shis stobs rgyal/","1550","1603","G00AG01624"
"P6461","khri 96 thub bstan kun dga'","1891","1964","G77,G2349,G337"
"P647","'khon ston dpal 'byor lhun grub/","1561","1637","G308,G155"
"P6470","thu'u bkwan sku phreng lnga pa/","1827","1838" , 
"P648","smyos ston mdo sngags bstan 'dzin/","1576","1628","G12"
"P6484","rgya bla ma yang sprul ngag dbang bstan 'dzin bzang po/","1889","1950","G1720"
"P6489","a paM gter ston dpa' bo chos dbyings rdo rje/","1895","1945","G1797"
"P649","gnas mdo karma chags med/","1613","1678","G2659"
"P6496","rnye grub chen 04 blo bzang chos kyi nyi ma/","1850","1909" , 
"P6497","mi nyag 04 ngag dbang legs bshad rgya mtsho/","1902","1958","G160"
"P6498","bis kyA blo bzang dge 'dun bshad sgrub rgya mtsho/","1900","1957","G1835"
"P65","rgyal tshab dar ma rin chen/","1364","1432","G607,G880,G337,G226"
"P650","zur ston chos dbyings rang grol/","1604","1669" , 
"P6501","mtshan sgrogs 04 dge 'dul legs bshad bstan pa rgya mtsho/","1918","1953" , 
"P651","spo bo gter ston bdud 'dul rdo rje/","1615","1672","G17"
"P6510","rat+na ka ra/","1300","1361","G67"
"P6511","stag lung pa o rgyan mgon po/","1293","1366" , 
"P6513","stag lung ras pa rnam rgyal phun tshogs/","1532","1603","G67"
"P6515","yar klung pa seng+ge rgyal mtshan/","1345","1413" , 
"P6516","sa dmar ba/","1116","1187" , 
"P6517","yum brtan/","0843","0878" , 
"P6521","nyag rong mgon po rnam rgyal/","1799","1863" , 
"P653","rdzogs chen pad+ma rig 'dzin/","1625","1697","G16"
"P6537","a khu thabs mkhas bstan pa rgya mtsho/","1825","1897" , 
"P6549","sog po al than rgyal po/","1507","1583" , 
"P655","rig 'dzin kun bzang shes rab/","1636","1698","G18"
"P656","mnga' ris gter ston gar dbang rdo rje/","1640","1685","G496"
"P6566","go yug gan/","1205","1249" , 
"P657","rdo rje brag rig 'dzin 02 pad+ma 'phrin las/","1641","1717","G11"
"P657","rdo rje brag rig 'dzin 02 pad+ma 'phrin las/","1641","1718","G11"
"P6574","mtshams pa dpal chung /","1900","1988","G340"
"P658","pad gling thugs sras 04 bstan 'dzin 'gyur med rdo rje/","1641","1702","G389"
"P659","gnam chos mi 'gyur rdo rje/","1645","1667","G18,G3466"
"P66","karma pa 03 rang byung rdo rje/","1284","1339","G33"
"P6600","rdzogs chen mkhan chen yon tan mgon po/","1899","1959","G3219,G16"
"P6601","rang rig ras pa kun dga' blo gros/","1619","1683","G1569"
"P661","zhe chen rab 'byams 01 bstan pa'i rgyal mtshan/","1650","1704","G20"
"P6610","rdzong gter kun bzang nyi ma/","1904","1958" , 
"P662","ngag dbang kun bzang rdo rje/","1680","1723","G9"
"P664","rgyal sras yid bzhin legs grub/","1679","1718","G14"
"P665","a lags rgyal po 01 dpal ldan bkra shis/","1688","1742","G3705"
"P6672","chos rgyal nam mkha' nor bu/","1938","2018" , 
"P6677","na len+dra 'i mkhan po tshul khrims rgyal mtshan/","1933","2002","G233"
"P671","chos rje gling pa/","1682","1720","G2832,G197"
"P6719","sne'u shar thub bstan thar pa/","1902","1983" , 
"P6722","g.yu thog sa dbang bkra shis don grub/","1906","1983" , 
"P673","rig 'dzin nyi ma seng+ge","1687","1738" , 
"P674","smin gling khri chen 03 rin chen rnam rgyal/","1694","1758","G14"
"P675","'ol dga' rje drung 03 bzhad pa'i rdo rje/","1697","1740","G184"
"P6753","ye shes tshul khrims/","1925","1994" , 
"P6757","grub rigs khyu mchog","1930","2007","G2613"
"P676","kaH thog rig 'dzin tshe dbang nor bu/","1698","1755","G17,G4760"
"P6760","gtsang paN+Di ta 03 dge 'dun thub bstan yar rgyas/","1781","1810" , 
"P6761","gtsang paN+Di ta 03 bsod nams chos mdzad/","1781","1839" , 
"P6762","gtsang paN+Di ta 04 blo bzang chos grags rgya mtsho/","1840","1887" , 
"P6763","gtsang paN+Di ta 05 thub bstan chos kyi nyi ma/","1888","1942" , 
"P6769","nA lung pa sangs rgyas bzang po/","1883","1954","G2717"
"P677","rdzogs chen 02 'gyur med theg mchog bstan 'dzin/","1699","1758","G16"
"P6771","rnga ba blo bzang 'phrin las rgya mtsho/","1916","1981","G1899"
"P6776","rgyal lha khang gdan sa ba 07 tshul 'phags ngan lam pa/","1090","1159","G280"
"P6777","nam mkha' 'od/","1133","1199" , 
"P678","smin gling rje btsun mi 'gyur dpal sgron/","1699","1769","G14"
"P6785","bla ma dkar po 01 byams pa mthu stobs kun dga' rgyal mtshan/","1835","1895","G612"
"P6787","bla ma dkar po 03 skal bzang 'phrin las lhun grub bstan pa'i rgyal mtshan/","1911","1953","G612"
"P6788","bla ma dkar po 04 blo bzang bshad sgrub bstan pa'i rgyal mtshan/","1954","1978","G612"
"P6798","tsa yus 04 blo bzang bstan pa rgya mtsho/","1862","1914","G2521"
"P680","gnam lcags rtsa gsum gter bdag gling pa/","1694","1738" , 
"P6802","tsa yus 02 'phrin las bstan 'dzin rgya mtsho/","1721","1774","G2521"
"P6804","tA dbon 01 tshul khrims seng+ge","1651","1743","G2525"
"P6805","tA dbon 02 don yod seng+ge","1744","1815","G2525"
"P6806","tA dbon 03 blo bzang thub bstan 'jigs med seng+ge","1832","1867","G2525"
"P6807","tA dbon 04 dbu se ba/","1868","1922","G2525"
"P6808","tA dbon 05 blo bzang 'phrin las kun dga' seng+ge","1923","1988","G2525"
"P681","dri med gling pa/","1700","1775","G802"
"P6810","sngags rams pa stobs ldan rgya mtsho/","1696","1759","G2525"
"P6811","gtsos khri sprul 03 blo bzang 'jam dpal bstan 'dzin seng+ge","1854","1875","G2533"
"P6812","gtsos khri sprul 04 blo bzang bstan 'dzin seng+ge","1877","1939","G2533"
"P6814","gser lag 01 byams pa don yod/","1649","1731","G1936"
"P6815","gser lag 02 blo bzang bstan dar/","1732","1794","G1936"
"P6816","gser lag 03 dge 'dun yar 'phel/","1795","1807","G1936"
"P6817","gser lag 04 blo bzang ye shes thub bstan dar rgyas/","1809","1879","G1936"
"P6821","'jam dbyangs blo bzang rgya mtsho/","1901","1960","G1932"
"P683","smin gling mkhan chen o rgyan bstan 'dzin/","1742","1789","G14"
"P6832","rong bo rab 'byams pa dge 'dun blo bzang /","1946","2005","G163"
"P6835","brag lung mkhan po ngag dbang 'jam dbyangs bstan 'dzin rgya mtsho/","1775","1844" , 
"P6837","brag lung ngag dbang mkhas grub rgya mtsho/","1711","1773","G161,G155"
"P684","rig 'dzin kun bzang rdo rje/","1738","1805" , 
"P6848","gter chen pad+ma gtum po/","1934","2009","G1737"
"P6850","tshul khrims bstan pa'i rgyal mtshan/","1888","1932" , 
"P686","yol mo sprul sku 05 karma 'phrin las bdud 'joms/","1726","1789" , 
"P6873","sangs rgyas gling pa (bon po gter ston)","1705","1735" , 
"P6879","mtha' dkar chos skyong dpal bzang /","1636","1702","G2879"
"P6886","zhabs drung dpag bsam ye shes/","1598","1667" , 
"P6897","dpal me mkhyen brtse kun bzang 'gro 'dul/","1897","1946","G2884,G2883"
"P6899","shing bza' 02 'jigs med nam mkha'","1768","1822","G4353,G4354,G3090,G1955,G162"
"P690","zhe chen rab 'byams 02 'gyur med kun bzang rnam rgyal/","1713","1769","G20"
"P6904","rgyal rtse chos rgyal rab brtan kun bzang 'phags/","1389","1442","G934"
"P6905","shar kha ba kun dga' 'phags pa/","1357","1412","G1511"
"P691","'dzi sgar 04 rdo rje drag po rtsal/","1740","1798","G185"
"P6918","bka' 'gyur bla ma blo bzang chos 'phel/","1680","1775" , 
"P6919","bka' 'gyur ba dga' ldan bstan 'dzin/","1741","1803" , 
"P692","nyi sprul 02 pad+ma theg mchog bstan pa'i rgyal mtshan/","1712","1771","G491,G1KR1686,G16"
"P6920","dga' ldan dar rgyas/","1758","1820" , 
"P6921","'bi lung pa dge 'dun bzang po/","1726","1799" , 
"P6925","sman stod blo bzang dbang 'dus/","1917","1959" , 
"P695","'jigs med rgyal ba'i myu gu 01","1765","1842","G3933"
"P6955","a bu lha sgang pad+ma theg mchog blo ldan/","1879","1955","G16,G3219"
"P6956","rme ba mkhan po nor bu bstan 'dzin/","1898","1950","G3217"
"P6957","ba thur mkhan po thub bstan chos 'phel/","1886","1956","G4154"
"P6958","mkhan chen thub bstan snyan grags/","1883","1959","G3219,G16"
"P6962","mkhan po kun dpal/","1862","1943" , 
"P6965","mu ra sprul sku 04 pad+ma nor bu/","1918","1958","G3955"
"P697","rgyal sras gzhan phan mtha' yas/","1800","1855","G3954,G16,G3219"
"P698","mdo mkhyen brtse ye shes rdo rje/","1800","1866","G3787,G353"
"P699","rgya kong mkhan chen gzhan phan chos kyi snang ba/","1871","1927","G2077,G3219,G4874,G36,G2JM233"
"P7","gter bdag gling pa 'gyur med rdo rje/","1646","1714","G14"
"P70","rtogs ldan grags pa seng+ge","1283","1349" , 
"P700","rig 'dzin rnam rgyal bdud 'dul rol pa rtsal/","1871","1936" , 
"P7007","sbyor ra 05 rig 'dzin 'phrin las lhun grub/","1770","1815","G3082"
"P701","rdzogs chen 05 thub bstan chos kyi rdo rje/","1872","1935","G16"
"P702","shug sgang gter chen pad+ma 'dus pa rtsal/","1870","1932" , 
"P703","khyung sprul pad+ma dbang chen bstan 'dzin 'phrin las/","1870","1930","G2843"
"P704","e ta rA dza/","1873","1933" , 
"P7041","rnye grub chen 05 blo bzang 'phrin las rab rgyas/","1909","1945" , 
"P7045","'dan sku phreng 05 'jigs med bstan 'dzin nyi ma/","1921","1981","G3087"
"P705","bdud 'joms gling pa/","1835","1904","G1AG33"
"P7055","co ne byang chub mi la/","1646","1716","G4697"
"P7060","mtshan sgrog 'jam dbyangs chos kyi rgyal mtshan/","1914","1933" , 
"P7061","chu bzang 06 blo bzang bstan pa'i dbang phyug","1914","2000" , 
"P7063","kirti 10 bstan pa tshe ring /","1921","1941","G3278"
"P708","rdza rong phu sprul sku ngag dbang bstan 'dzin nor bu/","1867","1940","G186"
"P7107","rgya ra 01 ba shes rab phun tshogs/","1566","1632","G1KR983,G180"
"P7109","slob dpon shes rab dpal bzang /","1550","1633" , 
"P711","shar skal ldan rgya mtsho/","1607","1677","G4697,G163"
"P7118","grub dbang dkon mchog rgyal mtshan/","1601","1687" , 
"P7119","bya btang karma dpal ldan/","1709","1781" , 
"P7120","lho pa ngag dbang chos kyi rgya mtsho/","1755","1831","G1KR1632"
"P714","blo bzang bstan pa'i rgyal mtshan/","1581","1659","G1853"
"P7147","ngor mkhan chen 57 dpal ldan blo gros grags pa/","1840","1900","G211"
"P715","lab skyabs mgon 05 blo gros rgya mtsho/","1546","1618","G2562,G337"
"P7168","rme ba mkhan chen bsod nams mgon po/","1895","1967","G3217"
"P7172","gung thang rgyal po rnam rgyal lde/","1422","1502","G1338"
"P7180","gnyos ston dpal ldan bzang po/","1447","1507" , 
"P719","paN chen blo bzang chos kyi rgyal mtshan/","1570","1662","G4244,G4247,G104,G77,G275"
"P7199","mkhan chen kun bzang don ldan/","1902","1963","G3157,G126"
"P720","skyid shod zhabs drung bstan 'dzin blo bzang rgya mtsho/","1593","1638" , 
"P723","zhe chen rab 'byams 05 pad+ma theg mchog bstan pa'i rgyal mtshan/","1864","1909","G20"
"P724","mkhan po ngag dga'","1879","1940","G18,G17,G16"
"P725","rig pa'i ba dz+ra/","1880","1938" , 
"P726","gling tshang mkhan chen/","1883","1945","G187"
"P7261","ngag dbang dkon mchog bstan rgyal/","1594","1630" , 
"P7266","dka' chen blo bzang dpal ldan yar 'phel/","1886","1939","G104"
"P727","sras 'phags mchog rdo rje/","1893","1943" , 
"P7270","dmar sgom bsod nams blo gros/","1516","1581" , 
"P7271","chos skyabs dpal bzang /","1536","1635" , 
"P7272","dpal ldan blo gros/","1527","1596" , 
"P7273","bsod nams dbang phyug","1660","1731" , 
"P7274","bla ma mun sel tshul khrims rgya mtsho/","1916","1993","G17,G1746,G3203"
"P7279","'dzam thang mkhan po ngag dbang yon tan bzang po/","1928","2002","G529"
"P7289","bya bral chos dbyings khyab brdal/","1920","1997" , 
"P731","pad+ma lung rtogs rgya mtsho/","1891","1964" , 
"P7313","shes rab 'byung gnas blo gros/","0950","1030" , 
"P732","rag mgo mchog sprul thub bstan bshad sgrub rgya mtsho/","1879","1961","G18"
"P7323","lha mo tshe ring /","1924","1999" , 
"P733","rdzong gsar mkhyen brtse 02 'jam dbyangs chos kyi blo gros/","1893","1959","G213"
"P7359","pad nor 02 thub bstan chos kyi glang po/","1887","1932","G18"
"P736","bdud 'joms 'jigs bral ye shes rdo rje/","1904","1987" , 
"P7368","ma'o tse tung /","1893","1976" , 
"P739","bstan 'dzin chos kyi rgyal mtshan/","1894","1925","G9"
"P7393","a chos rin po che/","1918","1998" , 
"P740","khu nu rin po che bstan 'dzin rgyal mtshan/","1894","1977" , 
"P7404","rdzogs chen 03 nges don bstan 'dzin bzang po/","1759","1792" , 
"P7414","shih, nai an/","1290","1365" , 
"P7415","lo, kuan chung /","1330","1400" , 
"P742","se ra mkha' 'gro kun bzang bde skyong dbang mo/","1892","1940" , 
"P7420","gter chen 'bar ba'i rdo rje/","1836","1920" , 
"P743","bod pa sprul sku mdo sngags bstan pa'i nyi ma/","1898","1959" , 
"P7434","teng zha'o phin/","1904","1997" , 
"P744","zhe chen kong sprul pad+ma dri med/","1901","1960","G20"
"P745","zhe chen rab 'byams 06 snang mdzad grub pa'i rdo rje/","1911","1959","G20"
"P746","ngag dbang yon tan rgya mtsho/","1907","1959" , 
"P747","bse sgrub gdung 'dzin dpal 'byor lhun grub rdo rje/","1917","1980" , 
"P7471","ser smad spom ra dge bshes ye shes dbang phyug","1928","2000","G237"
"P7478","'phrin las lhun grub rgyal mtshan/","1808","1881" , 
"P748","rdzogs chen mkhan po thub bstan brtson 'grus/","1920","1979","G16"
"P7484","gro bo lung grub thob blo bzang lha mchog","1672","1747","G3619"
"P7495","sprul sku tshe dbang rdo rje/","1928","1994" , 
"P7496","byams pa chos ldan/","1919","1988" , 
"P75","mkhas grub nor bzang rgya mtsho/","1423","1513" , 
"P750","rdzogs chen 06 'jigs bral byang chub rdo rje/","1935","1959","G16"
"P7512","rock, joseph francis charles/","1884","1962" , 
"P753","lo chen rin chen bzang po/","0958","1055" , 
"P7531","ngag dbang mkhyen brtse thub bstan dbang po/","1913","1988" , 
"P7532","shes rab rgyal mtshan/","1505","1573","G211"
"P7533","ngor mkhan chen 60 ngag dbang mkhyen rab 'jam dpal snying po/","1868","1949","G211"
"P7534","ngor mkhan chen 61 ngag dbang kun dga' bstan pa'i rgyal mtshan/","1863","1899","G211"
"P754","'brug rje mkhan po 59 chos kyi dbang phyug","1860","1940","G54"
"P7544","shing bza' 03a blo bzang 'phrin las rgya mtsho/","1821","1832" , 
"P7545","shing bza' 03b blo bzang bstan pa'i sgron me/","1821","1857" , 
"P7548","shing bza' 04 blo bzang chos kyi rgya mtsho/","1858","1926" , 
"P7559","zhi 'tsho 02 'jam dbyangs mdo sngags bshad sgrub nyi ma/","1880","1957","G3702"
"P7570","yon tan rgya mtsho/","1933","2002" , 
"P758","'brug rje mkhan po 69 dge 'dun rin chen/","1926","1997","G54,G3JT12437"
"P7584","zur mang drung pa 04 kun dga' rnam rgyal/","1567","1629","G326"
"P759","'brug rje mkhan po 61 bsam gtan rgya mtsho/","1883","1956","G54"
"P760","zhabs drung thugs sprul 05 'jigs med chos rgyal/","1862","1904","G190"
"P7615","lcang skya 07 blo bzang dpal ldan bstan pa'i sgron me/","1892","1958" , 
"P762","'brug rje mkhan po 62 yon tan brtson 'grus/","1891","1956","G54"
"P7625","rgyal sras legs pa/","1290","1365" , 
"P7631","o rgyan bstan 'dzin/","1657","1737" , 
"P7637","kaH thog pa bsod nams rgyal mtshan/","1466","1540","G17"
"P7641","ka ma la shI la/","0713","0763" , 
"P765","'brug rje mkhan po 64 bsam gtan dpal bzang /","1901","1965","G54"
"P7650","jo khyabs pad+ma 'phrin las snying po/","1903","1960" , 
"P766","'brug rje mkhan po 65 ye shes seng+ge","1906","1969","G54"
"P7668","ngor mkhan chen 53 kun dga' bstan pa'i blo gros/","1822","1884","G211"
"P767","bU li sprul sku/","1883","1941" , 
"P7674","kun grol grags pa 05 hUM chen 'gro 'dul glin pa/","1901","1956" , 
"P7679","sde gzhung kun dga' bstan pa'i nyi ma/","1906","1987","G1KR2783"
"P768","dge bshes zhu dag pa/","1892","1940" , 
"P7696","'gro 'dul pad rgyal gling pa/","1924","1988" , 
"P771","zhabs drung thugs sprul 06 'jigs med rdo rje/","1905","1931","G189"
"P7715","rta tshag 11 ngag dbang thub bstan skal bzang bstan pa'i sgron me/","1886","1918" , 
"P7724","chos rje bsod nams ye shes dpal bzang /","1472","1520","G67"
"P7727","stag lung khri 23 bkra shis chos kyi rgyal po/","1660","1689","G67"
"P7728","stag lung khri 24 bstan 'dzin rnam rgyal/","1667","1720","G67"
"P773","zhabs drung gsung sprul 01 phyogs las rnam rgyal/","1708","1736" , 
"P7731","nyi grags rgyal sras o rgyan bstan 'dzin/","1701","1727" , 
"P7734","nyi sprul 06 thub bstan 'od gsal nyi ma/","1914","1964","G1KR1686"
"P775","kom 'phrang chos rje ye shes dngos grub/","1641","1727","G378"
"P7751","chos 'bar/","1050","1112","G3470"
"P776","mus chen sangs rgyas rgyal mtshan/","1542","1618" , 
"P7765","ngor mkhan chen 51 'jam dpal bzang po/","1789","1864","G211"
"P7768","ngor mkhan chen 58 'jam dbyangs rin chen rdo rje/","1837","1901","G211"
"P777","ngor mkhan chen 13 nam mkha' dpal bzang /","1532","1602","G211"
"P7771","phu khang dge bshes blo bzang rgya mtsho/","1928","1997" , 
"P7774","mkhan po 'jigs phun/","1933","2004","G3997"
"P778","ngor mkhan chen 14 byams pa kun dga' bkra shis/","1558","1603","G211"
"P7787","chos rgyal khri srong lde btsan/","0742","0800","G287,G222"
"P779","ngor mkhan chen 16 dpal ldan don grub/","1563","1636","G211"
"P7821","g.yung drung gling mkhan chen 09 shes rab bstan pa'i rgyal mtshan/","1911","1979","G3"
"P783","ngor mkhan chen 10 dkon mchog lhun grub/","1497","1557","G211"
"P784","mang thos klu sgrub rgya mtsho/","1523","1596","G265"
"P7842","ldan ma blo bzang rdo rje/","1908","1975" , 
"P7843","'dzam thang mkhan po tshogs gnyis rgya mtsho/","1880","1940","G529,G4932"
"P785","ngor mkhan chen 12 dkon mchog dpal ldan/","1526","1590","G275,G211"
"P7854","rdo rje gdan pa mi pham tshe dbang bstan 'dzin/","1574","1643" , 
"P7857","stag tshang ras pa ngag dbang rgya mtsho/","1574","1651" , 
"P7858","kun dga' snyan grags rgya mtsho/","1863","1933","G4346"
"P787","sa skya yongs 'dzin ngag dbang chos grags/","1572","1641","G210"
"P7873","grub dbang karma chos 'phel/","1915","1999" , 
"P7890","khams bla khrag 'tshung nam mkha' rgya mtsho/","1788","1859" , 
"P7892","bu 'bor ba byang chub seng+ge","1372","1439","G17"
"P7893","blo gros seng+ge","1371","1430" , 
"P7894","gtsang ston rdo rje rgyal mtshan/","1137","1227","G17"
"P7910","ri khud sku zhabs 'jigs med chos kyi 'od zer/","1892","1956","G3795"
"P7915","'brug sprul 05 pad+ma mthu stobs rdo rje/","1899","1959" , 
"P7916","gter ston 04 dbang chen dgyes pa'i rdo rje/","1934","1997" , 
"P7917","'jigs med ye shes snying po/","1912","1959" , 
"P792","gnas gsar dbang phyug rab brtan/","1558","1636","G275"
"P7929","karma bdud 'dul/","1922","1993" , 
"P793","sa skya khri chen 26 ngag dbang kun dga' dbang rgyal/","1592","1620","G311"
"P7933","bde chen rig pa'i ral gri/","1830","1896" , 
"P7937","spyan lung sku sprul 02 khyab gdal klong yangs/","1822","1858","G339"
"P7938","spyang lung sprul sku 03 kun bzang 'jigs med rgya mtsho/","1859","1911","G339"
"P7939","spyang lung sprul sku 04 blo bzang legs bshad nyi ma/","1912","1963","G339"
"P794","ngor mkhan chen 21 bsod nams rgya mtsho/","1617","1667","G211"
"P7941","ko'u sde rdzogs chen 03 thub bstan chos kyi nyi ma/","1937","1961","G3702"
"P7944","'od gsal rdo rje/","1856","1925","G3702"
"P7947","grub dbang sku bar pad+ma dbang chen/","1862","1940","G3630"
"P795","ngag dbang bsod nams dbang phyug","1638","1685","G210"
"P7950","zhabs dkar 02 'jigs med theg mchog bstan pa'i rgyal mtshan/","1853","1914","G3703"
"P7951","zhabs dkar 03 ye shes bstan pa'i rgyal mtshan/","1914","1979","G3703"
