"p","pname","bdate","ddate","seats"
"P1637","blo bzang dam chos rgya mtsho/","1865","1917","G1KR2692"
"P1638","blo bzang rta mgrin/","1867","1937" , 
"P164","stag mtsher khri chen blo bzang dar rgyas/","1659","1737","G160"
"P1640","rgya zhabs drung skal bzang dkon mchog rgya mtsho/","1896","1960","G162,G3090"
"P1641","dbang mda' gyang sprul don grub rdo rje/","1892","1960" , 
"P1642","mkhas dbang gsung rab rgya mtsho/","1896","1982" , 
"P1646","tshe tan zhabs drung 06 'jigs med rigs pa'i blo gros/","1910","1985","G288,G1GS141053"
"P1647","dmu dge bsam gtan/","1914","1993" , 
"P1648","stag mtsher thub bstan 'jigs med nor bu/","1922","2008","G109,G160"
"P165","khri 37 dge 'dun rin chen rgyal mtshan/","1571","1642","G337,G237,G236,G474"
"P1650","chos kyi rgyal mtshan/","1938","1989","G104"
"P1651","gshen chen klu dga'","0996","1035" , 
"P1652","bru nam mkha' g.yung drung /","0996","1054" , 
"P1654","shes rab 'od zer/","1058","1132" , 
"P1656","khyung sprul 'jigs med nam mkha'i rdo rje/","1897","1956" , 
"P1657","ga shel khri chen g.yung drung rgyal mtshan/","1893","1953" , 
"P166","a kyA yongs 'dzin blo bzang don grub/","1740","1827","G161,G161,G109,G109,G160,G160"
"P1661","spa tshang gter chen ye shes g.yung drung /","1910","1959" , 
"P1663","shar rdza bkra shis rgyal mtshan/","1859","1935","G4660"
"P1665","sprul sku blo ldan snying po/","1360","1385","G1KR1855,G1KR1169"
"P1665","sprul sku blo ldan snying po/","1360","1407","G1KR1855,G1KR1169"
"P1670","'a zha blo gros rgyal mtshan/","1198","1263" , 
"P1675","mnyam med shes rab rgyal mtshan/","1356","1415","G4"
"P1677","zhu ston nyi ma grags pa/","1616","1670" , 
"P168","dpal ldan ye shes/","1738","1780","G104"
"P1682","sku mdun bsod nams blo gros/","1785","1835" , 
"P1686","klong gsal snying po/","1625","1692","G17"
"P1687","rtse le sna tshogs rang grol/","1605","1677","G467"
"P1687","rtse le sna tshogs rang grol/","1608","1677","G467"
"P1688","bla chen 'bres gshongs pa/","1602","1677" , 
"P1689","gong ra lo chen gzhan phan rdo rje/","1594","1654" , 
"P169","'jam dbyangs bzhad pa 02 dkon mchog 'jigs med dbang po/","1728","1791","G3090,G162,G109,G160,G161"
"P1690","yol mo sprul sku 03 bstan 'dzin nor bu/","1589","1644","G11"
"P1691","lha btsun nam mkha' 'jigs med/","1597","1650" , 
"P1692","tshul khrims rdo rje/","1598","1669","G9,G4208"
"P1693","pad+ma gling pa/","1450","1521" , 
"P1694","gnyug la paN chen ngag dbang grags pa/","1458","1515" , 
"P1697","bstan gnyis gling pa/","1480","1535" , 
"P1699","mnga' ris paN chen pad+ma dbang rgyal/","1487","1542" , 
"P170","thu'u bkwan 03 blo bzang chos kyi nyi ma/","1737","1802","G165,G275,G160,G161"
"P1700","'jam dbyangs rin chen rgyal mtshan/","1445","1558" , 
"P1701","rig 'dzin legs ldan bdud 'joms/","1512","1625","G4795"
"P1702","rgod tshang pa sna tshogs rang grol/","1494","1570" , 
"P1703","kun dga' rgyal mtshan dpal bzang /","1497","1568" , 
"P1705","rig 'dzin mchog ldan mgon po/","1497","1557","G4186,G4186"
"P1706","kun dga' legs pa'i blo gros/","1497","1544" , 
"P1709","a lags rgyal po 03 chos dbyings stobs ldan rdo rje/","1785","1848","G3702"
"P1710","rdzogs chen 04 mi 'gyur nam mkha'i rdo rje/","1793","1870","G16"
"P1711","chos rgyal rdo rje/","1789","1859" , 
"P1718","'brug pa blo gros seng+ge","1345","1390","G3582"
"P172","a kyA 04 ye shes skal bzang mkhas grub rgya mtsho/","1817","1869","G160"
"P1727","blo bzang ngag dbang /","1591","1663","G165,G109"
"P1729","gzims khang gong ma 04 grags pa rgyal mtshan/","1619","1656","G108"
"P1737","kirti 05 blo bzang bstan pa'i rgyal mtshan/","1712","1771","G3190,G3278"
"P1740","be ri mthu stobs rgyal mtshan/","1695","1774" , 
"P1741","brag sgom pa blo bzang shes rab/","1728","1800" , 
"P1746","reb tsha bka' 'gyur dkon mchog dam chos yar 'phel/","1779","1829","G162"
"P1748","la mo zhabs drung dkar po 04 blo bzang thub bstan dge legs rgyal mtshan/","1729","1796","G271"
"P1749","la mo zhabs drung dkar po 03 blo bzang bstan pai rgyal mtshan/","1660","1728","G271"
"P1750","a mdo zhwa dmar 01 ngag dbang 'phrin las/","1661","1726","G271,G109,G162"
"P1753","gur yag ri khrod pa blo bzang yar 'phel/","1686","1749","G300"
"P176","dkon mchog rgyal mtshan/","1764","1853","G301,G162"
"P1764","su nyid dkon mchog nor bu/","1770","1839","G162,G1965,G1962"
"P1765","dbal mang chung ba dkon mchog yar 'phel/","1768","1834","G162"
"P1768","'jam dbyangs dpal ldan/","1682","1754","G162"
"P177","tA la'i bla ma 04 yon tan rgya mtsho/","1589","1616","G154,G108"
"P1770","bla brang khri 07 blo bzang gnas brtan brtson 'grus/","1696","1754","G162"
"P1771","dbus pa jo bo bsod nams/","1168","1198" , 
"P1772","jo bo 'bum/","1124","1174" , 
"P1778","shangs ston kun mkhyen legs pa don grub/","1479","1555","G107"
"P178","'on rgyal sras 05 skal bzang thub bstan 'jigs med rgya mtsho/","1743","1811","G75"
"P1783","skyer sgang pa chos kyi seng+ge","1154","1217","G302"
"P1784","sku yal ba rin chen mgon po/","1191","1236","G67"
"P1786","de mo 05 ngag dbang dge legs rgyal mtshan/","1631","1668" , 
"P1787","de mo 04 lha dbang bstan pa'i rgyal mtshan/","1631","1668" , 
"P179","tA la'i bla ma 07 bskal bzang rgya mtsho/","1708","1757","G222,G108"
"P1791","blo bzang chos grags/","1638","1710" , 
"P1812","de mo 08 ngag dbang thub bstan 'jigs med rgya mtsho/","1778","1819","G303"
"P1813","stong 'khor 06 'jam dbyangs bstan 'dzin rgya mtsho/","1753","1798","G170,G154,G239"
"P1814","de mo 09 ngag dbang blo bzang 'phrin las rab rgyas/","1855","1899","G303"
"P1817","dar ma shes rab/","1228","1310","G306"
"P1818","chos sku sangs rgyas yar byon/","1203","1272","G67"
"P182","lcang skya rol pa'i rdo rje/","1717","1786","G165,G3CN1712"
"P1824","gangs dkar bla ma 02 rin chen bzang po/","1317","1383","G3805,G3785"
"P1830","rgyal sras thogs med bzang po/","1295","1369","G244,G223,G4735"
"P1840","dol pa shes rab rgya mtsho/","1059","1131" , 
"P1841","dwags po sgom chung shes rab byang chub/","1130","1173","G197"
"P1844","sgam po pa bsod nams rin chen/","1079","1153","G197"
"P1845","dwags sgom tshul khrims snying po/","1116","1169","G197"
"P1847","khri 52 ngag dbang tshe 'phel/","1668","1734","G337,G394,G308"
"P1849","gung thang 01 dge 'dun phun tshogs/","1648","1724","G337"
"P1850","dwags po 'dul 'dzin/","1134","1218","G197"
"P1858","drung pa brtson 'grus rgyal mtshan/","1567","1650","G310"
"P1862","tA dben kun dga' rin chen/","1339","1399","G880,G311"
"P1863","sa skya khri chen 12 nam mkha' legs pa'i rgyal mtshan/","1305","1343","G311"
"P1865","sa skya bdag chen 'jam dbyangs don yod rgyal mtshan/","1310","1344","G312"
"P1868","sa skya bdag nyid chen po d+harma pA la rak Shi ta/","1268","1287","G880"
"P1873","ngor mkhan chen 07 dkon mchog 'phel ba/","1445","1514","G211"
"P1874","sa skya bdag chen chos kyi rgyal mtshan/","1359","1428","G312"
"P1877","bdag nyid chen po bzang po dpal/","1262","1324","G210"
"P1880","sa skya bdag chen 'jam dbyangs nam mkha' rgyal mtshan/","1398","1472","G210,G312"
"P1883","rgya gar ba shes rab rgyal mtshan/","1436","1494","G210,G1KR2688,G312"
"P1896","thu'u bkwan 02 ngag dbang chos kyi rgya mtsho/","1680","1736","G165,G4473"
"P1898","chu bzang 02 blo bzang bstan pa'i rgyal mtshan/","1652","1723","G165,G160,G294"
"P1899","'jigs med grags pa rgya mtsho/","1779","1839","G8LS12318,G163"
"P1900","bde chen mA hA paN+Di ta ngag dbang 'jam dbyangs dpal ldan/","1712","1782" , 
"P1901","blo bzang chos 'phel rgya mtsho/","1858","1940" , 
"P191","rwa sgreng A chi thu ho thog thu ngag dbang ye shes tshul khrims rgyal mtshan/","1816","1863","G74"
"P1912","o rgyan dpal bzang /","1617","1677" , 
"P1922","dbra ston skal bzang bstan pa'i rgyal mtshan/","1897","1959" , 
"P1932","'ba' ra ba rgyal mtshan dpal bzang /","1310","1391","G512"
"P1934","bkra shis rgya mtsho/","1706","1766","G162"
"P194","phur bu lcog blo bzang byams pa rgya mtsho/","1825","1901","G156"
"P1956","'bri gung pa rin chen chos kyi rgyal mtshan/","1449","1484","G340"
"P1959","wang rin chen chos rgyal/","1421","1469","G340"
"P196","a mdo zhwa dmar 04 dge 'dun bstan 'dzin rgya mtsho/","1852","1912","G162,G271"
"P197","tA la'i bla ma 13 thub bstan rgya mtsho/","1876","1933","G108,G222"
"P1975","ngag dbang 'jam dpal bstan pa'i nyi ma/","1841","1894","G160"
"P1981","che shos 01 ngag dbang bstan pa/","1717","1786","G160"
"P1984","rmog lcog pa rin chen brtson 'grus/","1110","1170","G2CN11086,G327"
"P1989","sman khang pa ngag dbang chos 'phel/","1635","1707","G328"
"P199","kha dron nang pa blo bzang bstan 'dzin/","1730","1797","G297,G298"
"P199","kha dron nang pa blo bzang bstan 'dzin/","1730","1798","G297,G298"
"P1999","khri chen dge 'dun bstan 'dzin/","1716","1790","G163"
"P1AG27","dge rtse pad+ma/","1745","1813","G4687"
"P1AG39","spyan nga bsod nams bzang po/","1380","1417" , 
"P1AG4","chos rje sgang pa rin chen 'od zer/","1175","1259","G3395"
"P1AG40","grags pa rgyal mtshan/","1374","1432" , 
"P1AG41","byang chub rdo rje/","1377","1428" , 
"P1AG54","'jigs med grags pa/","1315","1391","G880"
"P1AG9","grags pa brtson 'grus/","1203","1267" , 
"P1AG99","padma 'gyur med/","1927","1972","G1AG98"
"P1GS105233","mkhan chen dkon mchog bstan 'dzin/","1623","1684","G14"
"P1GS107885","phur bu lcog blo bzang byams pa/","1763","1825","G156"
"P1GS135529","'khrul zhig kun bzang mthong grol rdo rje/","1862","1922","G186"
"P1GS138134","mkha' 'gro blo gsal sgrol ma/","1802","1861" , 
"P1GS58297","brag g.yab che tshang 04 blo bzang rnam rgyal/","1693","1750","G460"
"P1GS66366","rgyal rong sprul sku mdo sngags bstan pa'i sgron me/","1927","1967" , 
"P1KG10060","lha lung pa blo bzang phun tshogs/","1926","2008" , 
"P1KG10422","tre hor dge bshes rta mgrin rab brtan/","1920","1986","G2466"
"P1KG10632","dbang chen pad+ma rig 'dzin/","1910","1980" , 
"P1KG1448","blo bzang nyi ma/","1926","1990" , 
"P1KG14492","bskal bzang lung rtogs rgya mtsho/","1923","1957" , 
"P1KG14496","sngags sa dge bshes/","1878","1959","G1928"
"P1KG14683","rig 'dzin mkha' spyod rdo rje/","1925","1983" , 
"P1KG1481","bka' 'gyur bla ma blo bzang dbang phyug","1914","1987" , 
"P1KG15038","rin chen/","1905","1977" , 
