Dharma_Drum_Authority_No,Main_Name,Birth,Death
A000753,知玄,+0811-01-01 ~ +0811-12-31,+0883-02-15 ~ +0884-02-04
A000756,知禮,+0960-01-01 ~ +0960-12-31,+1028-02-09
A000758,明應,+1328-01-01 ~ +1328-12-31,+1407-02-17 ~ +1408-02-05
A000759,空海,+0774-01-01 ~ +0774-12-31,+0835-04-26
A000765,竺僊梵僊,+1292-01-01 ~ +1292-12-31,+1348-02-08 ~ +1349-01-27
A000774,金剛智,+0669-01-01 ~ +0669-12-31,+0741-01-26 ~ +0742-02-13
A000784,馬融,+0079-01-01 ~ +0079-12-31,+0166-02-17 ~ +0167-02-05
A000787,曹氏,+0854-01-01 ~ +0854-12-31,+0925-08-03
A000811,俊芿,+1167-01-01 ~ +1167-12-31,+1228-01-25 ~ +1228-02-13
A000814,俞樾,+1821-12-25,+1907-02-05
A000817,南浦紹明,+1235-01-01 ~ +1235-12-31,+1308-02-01 ~ +1309-02-18
A000821,契嵩,+1007-01-01 ~ +1007-12-31,+1072-06-28
A000829,彥琮,+0557-01-01 ~ +0557-12-31,+0610-02-02 ~ +0611-02-20
A000841,慧印,+1689-01-21 ~ +1690-02-08,+1764-12-28
A000842,指空,+1289-01-08 ~ +1290-01-07,+1363-01-24 ~ +1364-02-11
A000845,春屋妙葩,+1311-01-01 ~ +1311-12-31,+1388-02-16 ~ +1389-02-04
A000846,昭如,+1247-02-04,+1312-07-28
A000848,善月,+1149-01-01 ~ +1149-12-31,+1241-03-10
A000850,段成式,+0803-01-01 ~ +0803-12-31,+0863-06-24 ~ +0863-08-21
A000851,毘尼多流支,+0494-01-01 ~ +0593-12-31,+0594-01-01 ~ +0594-12-31
A000854,洪如,+1592-01-01 ~ +1592-12-31,+1664-01-28 ~ +1665-02-14
A000857,洪蓮,+1366-01-01 ~ +1366-12-31,+1456-08-13
A000858,珍海,+1092-01-01 ~ +1092-12-31,+1152-02-15 ~ +1153-02-02
A000868,范成大,+1126-01-01 ~ +1126-12-31,+1193-01-01 ~ +1193-12-31
A000885,重顯,+0980-05-29,+1052-07-14
A000886,面山瑞芳,+1683-01-01 ~ +1683-12-31,+1769-01-01 ~ +1769-12-31
A000898,原澂,+1627-01-26,+1689-03-27
A000899,康僧鎧,+0199-01-01 ~ +0248-12-31,+0253-01-01 ~ +0303-12-31
A000903,夏丏尊,+1886-01-01 ~ +1886-12-31,+1946-01-01 ~ +1946-12-31
A000909,晁錯,-0200-01-01 ~ -0200-12-31,-0154-01-01 ~ -0154-12-31
