"name","birth","death","lifespan","occupation","country","id","dataset"
"Louis de Pontis",1583,1670,87,"writer","France","http://www.wikidata.org/entity/Q3263549","wikidata"
"Jacqueline de Bueil",1588,1651,63,"mistress","France","http://www.wikidata.org/entity/Q220201","wikidata"
"Antonietta Gonsalvus",1588,1700,112,NA,"France","http://www.wikidata.org/entity/Q431327","wikidata"
"Claude de Laval",1589,1646,57,"military personnel","France","http://www.wikidata.org/entity/Q87265653","wikidata"
"Nicholas de Courville",1590,1634,44,"military personnel","France","http://www.wikidata.org/entity/Q38260916","wikidata"
"Louis de Nogaret de La Valette d'Épernon",1593,1639,46,"Catholic priest","France","http://www.wikidata.org/entity/Q3263543","wikidata"
"Melchior Tavernier (II)",1594,1665,71,"engraver","France","http://www.wikidata.org/entity/Q747321","wikidata"
"Claude de Mesmes, comte d'Avaux",1595,1650,55,"diplomat","France","http://www.wikidata.org/entity/Q445780","wikidata"
"Henri de La Ferté-Senneterre",1599,1681,82,"politician","France","http://www.wikidata.org/entity/Q3132291","wikidata"
"Jean Boisseau",1600,1657,57,"illuminator","France","http://www.wikidata.org/entity/Q36873552","wikidata"
"Antoine Singlin",1607,1664,57,"Catholic priest","France","http://www.wikidata.org/entity/Q2856748","wikidata"
"Charles Gonzaga",1609,1631,22,"duke","France","http://www.wikidata.org/entity/Q969658","wikidata"
"Sébastien Pontault de Beaulieu",1612,1674,62,"engineer","France","http://www.wikidata.org/entity/Q3510267","wikidata"
"Roger Amidon",1614,1673,59,NA,"France","http://www.wikidata.org/entity/Q7357799","wikidata"
"Jean de la Vallée",1620,1696,76,"architect","France","http://www.wikidata.org/entity/Q1685968","wikidata"
"Jacques Morel",1620,1687,67,"bookbinder","France","http://www.wikidata.org/entity/Q41728603","wikidata"
"Antoinette Wibe",1624,1726,102,NA,"France","http://www.wikidata.org/entity/Q28910584","wikidata"
"Pierre le Picard",1624,1679,55,"privateer","France","http://www.wikidata.org/entity/Q3387829","wikidata"
"Jacques Tavernier",1625,1673,48,"privateer","France","http://www.wikidata.org/entity/Q6120895","wikidata"
"Belleroche",1630,1690,60,"actor","France","http://www.wikidata.org/entity/Q2894871","wikidata"
"Antoine Nompar de Caumont",1632,1723,91,"military personnel","France","http://www.wikidata.org/entity/Q124955","wikidata"
"Adrien-Thomas Perdou de Subligny",1636,1696,60,"writer","France","http://www.wikidata.org/entity/Q2825111","wikidata"
